kind	name	url	note
podcast	Eyes On Success	http://podcast.eyesonsuccess.net/feed	Apple ID 501893769, 300 episodes, HTTPS OK
podcast	davidwoodbr.podbean	https://davidwoodbr.podbean.com/rss	also in RSS sources list
